source,target,rel,cone
174,16303,-1,1
174,16413,-1,1
174,16507,-1,1
174,14731,-1,1
174,14895,-1,1
174,14672,-1,1
174,14374,-1,1
174,19210,-1,1
174,19380,-1,1
174,20384,-1,1
174,20474,-1,1
174,20679,-1,1
174,20018,-1,1
174,20270,-1,1
174,17049,-1,1
174,396485,-1,1
174,396528,-1,1
174,396840,-1,1
174,395988,-1,1
174,396052,-1,1
174,397820,-1,1
174,397843,-1,1
174,398194,-1,1
174,397571,-1,1
174,394855,-1,1
174,394922,-1,1
174,394975,-1,1
174,394984,-1,1
174,394993,-1,1
174,394356,-1,1
174,394381,-1,1
174,394545,-1,1
174,394651,-1,1
174,395598,-1,1
174,395668,-1,1
174,395723,-1,1
174,395819,-1,1
174,395177,-1,1
174,395412,-1,1
174,395436,-1,1
174,395487,-1,1
174,400771,-1,1
174,398717,-1,1
174,398779,-1,1
174,398482,-1,1
174,399856,-1,1
174,399090,-1,1
174,399275,-1,1
174,399279,-1,1
174,207992,-1,1
174,208014,-1,1
174,208649,-1,1
174,207176,-1,1
174,209966,-1,1
174,210083,-1,1
174,210087,-1,1
174,210211,-1,1
174,210307,-1,1
174,209138,-1,1
174,209479,-1,1
174,205073,-1,1
174,206310,-1,1
174,205827,-1,1
174,205919,-1,1
174,393229,-1,1
174,393241,-1,1
174,393278,-1,1
174,270314,-1,1
174,328529,-1,1
174,394005,-1,1
174,394232,-1,1
174,393619,-1,1
174,393811,-1,1
174,210791,-1,1
174,211298,-1,1
174,211694,-1,1
174,211969,-1,1
174,265617,-1,1
174,265017,-1,1
3257,5669,-1,1
3257,1678,-1,1
3257,2635,-1,1
3257,8131,-1,1
3257,8453,-1,1
3257,7148,-1,1
3257,7153,-1,1
3257,7158,-1,1
3257,14746,-1,1
3257,19380,-1,1
269474,6939,0,1
3257,10982,-1,1
3257,11857,-1,1
3257,13150,-1,1
3257,13250,-1,1
3257,13511,-1,1
3216,208177,-1,1
3216,207176,0,1
3216,206011,-1,1
3216,211609,-1,1
3257,19920,-1,1
3257,54706,-1,1
3257,56683,-1,1
3257,54293,-1,1
3257,61266,-1,1
3257,62542,-1,1
3257,60015,-1,1
3257,48659,-1,1
3257,49233,-1,1
3257,49567,-1,1
3257,49744,-1,1
3257,46889,-1,1
3257,48305,-1,1
3257,51752,-1,1
3257,51944,-1,1
3257,49849,-1,1
3257,51337,-1,1
3257,200552,-1,1
3257,200604,-1,1
3257,198045,-1,1
3257,201408,-1,1
3257,204453,-1,1
3257,201887,-1,1
3257,62664,-1,1
3257,64426,-1,1
3257,132228,-1,1
3257,140905,-1,1
3257,197308,-1,1
3257,136245,-1,1
3257,136792,-1,1
3257,137263,-1,1
3257,137819,-1,1
3257,29430,-1,1
3257,30931,-1,1
3257,20384,-1,1
3257,23028,-1,1
3257,23528,-1,1
3257,41436,-1,1
3257,44411,-1,1
3257,44776,-1,1
3257,44788,-1,1
3257,46130,-1,1
3257,44384,-1,1
3257,42816,-1,1
3257,42880,-1,1
3257,35180,-1,1
3257,34191,-1,1
3257,32671,-1,1
3257,32880,-1,1
3257,32987,-1,1
3257,33532,-1,1
3257,33802,-1,1
3257,33986,-1,1
3257,37225,-1,1
3257,37342,-1,1
3257,36184,-1,1
3257,36951,-1,1
3216,202486,-1,1
270285,52320,0,1
3216,39612,-1,1
3216,39740,-1,1
3216,34756,0,1
3216,43275,-1,1
3216,44322,-1,1
3216,43270,-1,1
3216,41616,-1,1
3216,42110,-1,1
3216,42559,-1,1
3216,43132,-1,1
3216,31512,-1,1
3216,21483,-1,1
3216,24204,0,1
3216,24263,0,1
3216,47470,-1,1
3216,60575,-1,1
3216,57629,-1,1
3216,200095,-1,1
3216,196657,-1,1
3216,198415,-1,1
3216,48733,-1,1
3216,56533,-1,1
3216,56542,-1,1
3216,56618,-1,1
3216,56814,-1,1
3216,56820,-1,1
3356,7148,-1,1
3356,7163,-1,1
3356,6895,-1,1
3356,8104,-1,1
3356,8131,-1,1
3356,8188,-1,1
3356,7914,-1,1
3356,6643,-1,1
3356,4546,-1,1
3356,3911,-1,1
3356,4046,-1,1
3356,6210,-1,1
3356,5392,-1,1
3356,5696,-1,1
3356,11379,-1,1
3356,10982,-1,1
3356,11067,-1,1
3356,11167,-1,1
3356,11872,-1,1
3356,11719,-1,1
3356,11687,-1,1
3356,9946,-1,1
3356,9976,-1,1
3356,10690,-1,1
3356,1678,-1,1
3356,3145,-1,1
3356,2534,-1,1
3356,2631,-1,1
3356,2635,-1,1
3356,11975,-1,1
3356,19755,-1,1
3356,19837,-1,1
3356,19920,-1,1
3356,19456,-1,1
3356,19574,-1,1
3356,19609,-1,1
3356,20465,-1,1
3356,20018,-1,1
3356,20050,-1,1
3356,20191,-1,1
3356,18718,-1,1
3356,18756,-1,1
3356,18598,-1,1
3356,19210,-1,1
3356,19269,-1,1
3356,19300,-1,1
3356,19380,-1,1
3356,18826,-1,1
3356,22696,-1,1
3356,22228,-1,1
3356,22260,-1,1
